,Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
10899,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Research Policy,0048-7333,00487333,05415,Active,
10900,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Research in Transportation Business & Management,2210-5395,22105395,12904,Active,
10901,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Revista de Administração,0080-2107,00802107,11501,Changed Name,Continued as RAUSP Management Journal
10903,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Revista Europea de Dirección y Economía de la Empresa,1019-6838,10196838,15977,Changed Name,Continued as European Journal of Management and Business Economics
10904,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Scandinavian Journal of Management,0956-5221,09565221,00872,Active,Formerly known as Scandinavian Journal of Management Studies
10905,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,"She Ji: The Journal of Design, Economics, and Innovation",2405-8726,24058726,18225,Active,
10906,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Socio-Economic Planning Sciences,0038-0121,00380121,00317,Active,
10908,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Technological Forecasting and Social Change,0040-1625,00401625,07771,Active,Formerly known as Technological Forecasting
10909,Social Sciences and Humanities,"Business, Management and Accounting",Strategy and Management,Technovation,0166-4972,01664972,02109,Active,
10934,Social Sciences and Humanities,Decision Sciences,Decision Sciences (General),International Journal of Forecasting,0169-2070,01692070,05378,Active,
10936,Social Sciences and Humanities,Decision Sciences,Decision Sciences (General),Journal of Choice Modelling,1755-5345,17555345,18020,Active,
10938,Social Sciences and Humanities,Decision Sciences,Decision Sciences (General),"Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
10945,Social Sciences and Humanities,Decision Sciences,Decision Sciences (General),Social Sciences & Humanities Open,2590-2911,25902911,30119,Active,
10946,Social Sciences and Humanities,Decision Sciences,Decision Sciences (General),Sustainability Analytics and Modeling,2667-2596,26672596,31153,Active,
10947,Social Sciences and Humanities,Decision Sciences,Decision Sciences (General),Sustainable Manufacturing and Service Economics,2667-3444,26673444,31176,Active,
10950,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,"Accounting, Organizations and Society",0361-3682,03613682,00486,Active,
10951,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Advanced Engineering Informatics,1474-0346,14740346,02007,Active,Formerly known as Artificial Intelligence in Engineering
10952,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Artificial Intelligence in Engineering,0954-1810,09541810,02007,Changed Name,Continued as Advanced Engineering Informatics
10953,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Computer Science Review,1574-0137,15740137,14035,Active,
10955,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Computers & Industrial Engineering,0360-8352,03608352,00399,Active,
10956,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Computers in Industry,0166-3615,01663615,05365,Active,
10957,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Computers & Operations Research,0305-0548,03050548,00300,Active,Incorporating Location Science and Surveys in Operations Research and Management Science
10958,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Critical Perspectives on Accounting,1045-2354,10452354,12681,Active,
10959,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Data & Knowledge Engineering,0169-023X,0169023X,05265,Active,
10960,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Data Science and Informetrics,2694-6106,26946106,32066,Active,
10961,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Decision Support Systems,0167-9236,01679236,05366,Active,
10963,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Engineering Costs and Production Economics,0167-188X,0167188X,05380,Changed Name,Formerly known as Engineering and Process Economics; Continued as International Journal of Production Economics
10965,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,European Journal of Operational Research,0377-2217,03772217,05369,Active,
10966,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
10967,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Information & Management,0378-7206,03787206,05374,Active,
10968,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Information and Organization,1471-7727,14717727,00964,Active,"Formerly known as Accounting, Management and Information Technologies"
10969,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
10970,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Information Sciences - Applications,1069-0115,10690115,07669,Incorporated,Incorporated into Information Sciences
10971,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Information Systems,0306-4379,03064379,00236,Active,
10972,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Innovation and Green Development,2949-7531,29497531,31514,Active,
10973,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,International Journal of Accounting Information Systems,1467-0895,14670895,07464,Active,
10974,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
10975,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,International Journal of Information Management Data Insights,2667-0968,26670968,31103,Active,
10977,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Journal of Engineering and Technology Management,0923-4748,09234748,05392,Active,Formerly known as Engineering Management International
10979,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Journal of Industrial Information Integration,2452-414X,2452414X,18297,Active,
10981,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,"Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
10982,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,The Journal of Strategic Information Systems,0963-8687,09638687,05402,Active,
10984,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Management Accounting Research,1044-5005,10445005,12677,Active,
10987,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Omega,0305-0483,03050483,00375,Active,
10988,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Operations Research Perspectives,2214-7160,22147160,17040,Active,
10991,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Project Leadership and Society,2666-7215,26667215,30427,Active,
10993,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Sustainability Analytics and Modeling,2667-2596,26672596,31153,Active,
10994,Social Sciences and Humanities,Decision Sciences,Information Systems and Management,Sustainable Manufacturing and Service Economics,2667-3444,26673444,31176,Active,
10996,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Computers & Industrial Engineering,0360-8352,03608352,00399,Active,
10997,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Computers in Industry,0166-3615,01663615,05365,Active,
10998,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Computers & Operations Research,0305-0548,03050548,00300,Active,Incorporating Location Science and Surveys in Operations Research and Management Science
10999,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Decision Analytics Journal,2772-6622,27726622,31297,Active,
11002,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Engineering Costs and Production Economics,0167-188X,0167188X,05380,Changed Name,Formerly known as Engineering and Process Economics; Continued as International Journal of Production Economics
11003,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Engineering and Process Economics,0377-841X,0377841X,05380,Changed Name,Continued as Engineering Costs and Production Economics
11006,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,European Journal of Operational Research,0377-2217,03772217,05369,Active,
11007,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Expert Systems with Applications,0957-4174,09574174,00939,Active,
11009,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Handbooks in Operations Research and Management Science,0927-0507,09270507,08671,Changed Name,Continued as Surveys in Operations Research and Management Science
11010,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Innovation and Green Development,2949-7531,29497531,31514,Active,
11011,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,International Journal of Production Economics,0925-5273,09255273,05380,Active,Formerly known as Engineering Costs and Production Economics
11012,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,International Journal of Project Management,0263-7863,02637863,03047,Active,
11013,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,International Transactions in Operational Research,0969-6016,09696016,00134,Transferred,Transferred to Blackwell as of 2001
11014,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Engineering and Technology Management,0923-4748,09234748,05392,Active,Formerly known as Engineering Management International
11015,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,The Journal of High Technology Management Research,1047-8310,10478310,07423,Active,
11016,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Industrial Information Integration,2452-414X,2452414X,18297,Active,
11017,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,"Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
11018,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Operations Management,0272-6963,02726963,05400,Transferred,Transferred to Wiley as of 2019
11019,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Purchasing and Supply Management,1478-4092,14784092,03028,Active,Formerly known as European Journal of Purchasing & Supply Management
11021,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Safety Science and Resilience,2666-4496,26664496,30328,Active,
11022,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Journal of Strategy & Innovation,3050-7901,30507901,07423,Active,
11025,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Machine Learning with Applications,2666-8270,26668270,30455,Active,
11026,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Omega,0305-0483,03050483,00375,Active,
11027,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,"Operations Research, Data Analytics and Logistics",3050-7847,30507847,12972,Active,
11028,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Operations Research for Health Care,2211-6923,22116923,12972,Active,
11029,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Operations Research Letters,0167-6377,01676377,05412,Active,
11030,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Operations Research Perspectives,2214-7160,22147160,17040,Active,
11031,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Performance Evaluation,0166-5316,01665316,05304,Active,
11033,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Research Policy,0048-7333,00487333,05415,Active,
11034,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Research in Transportation Business & Management,2210-5395,22105395,12904,Active,
11035,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Socio-Economic Planning Sciences,0038-0121,00380121,00317,Active,
11036,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Surveys in Operations Research and Management Science,1876-7354,18767354,00300,Incorporated,Formerly known as Handbooks in Operations Research and Management Science; Incorporated into Computers & Operations Research;
11037,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Sustainability Analytics and Modeling,2667-2596,26672596,31153,Active,
11039,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Sustainable Manufacturing and Service Economics,2667-3444,26673444,31176,Active,
11040,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Sustainable Operations and Computers,2666-4127,26664127,30317,Active,
11041,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Systems Engineering Procedia,2211-3819,22113819,12948,Discontinued,Title discontinued as of 2013
11042,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Systems Engineering – Theory & Practice,1874-8651,18748651,08642,Discontinued,Title discontinued as of 2010
11044,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Technological Forecasting and Social Change,0040-1625,00401625,07771,Active,Formerly known as Technological Forecasting
11045,Social Sciences and Humanities,Decision Sciences,Management Science and Operations Research,Technovation,0166-4972,01664972,02109,Active,
11052,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",European Journal of Operational Research,0377-2217,03772217,05369,Active,
11053,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
11054,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
11055,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Innovation and Green Development,2949-7531,29497531,31514,Active,
11057,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
11058,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",International Transactions in Operational Research,0969-6016,09696016,00134,Transferred,Transferred to Blackwell as of 2001
11061,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty","Journal of Open Innovation: Technology, Market, and Complexity",2199-8531,21998531,31515,Active,
11064,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Operations Research Letters,0167-6377,01676377,05412,Active,
11065,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Operations Research Perspectives,2214-7160,22147160,17040,Active,
11068,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Socio-Economic Planning Sciences,0038-0121,00380121,00317,Active,
11074,Social Sciences and Humanities,Decision Sciences,"Statistics, Probability and Uncertainty",Surveys in Operations Research and Management Science,1876-7354,18767354,00300,Incorporated,Formerly known as Handbooks in Operations Research and Management Science; Incorporated into Computers & Operations Research;
11308,Social Sciences and Humanities,Psychology,Applied Psychology,"Accounting, Organizations and Society",0361-3682,03613682,00486,Active,
11310,Social Sciences and Humanities,Psychology,Applied Psychology,Applied Behavioral Science Review,1068-8595,10688595,07401,Discontinued,Title discontinued as of 2000
11311,Social Sciences and Humanities,Psychology,Applied Psychology,Applied and Preventive Psychology,0962-1849,09621849,04060,Discontinued,Title discontinued as of 2013
11316,Social Sciences and Humanities,Psychology,Applied Psychology,Human Resource Management Review,1053-4822,10534822,07410,Active,
11318,Social Sciences and Humanities,Psychology,Applied Psychology,International Journal of Innovation Studies,2096-2487,20962487,18405,Active,
11323,Social Sciences and Humanities,Psychology,Applied Psychology,Journal of Applied Research in Memory and Cognition,2211-3681,22113681,14077,Transferred,Transferred to American Psychological Association as of 2022
11339,Social Sciences and Humanities,Psychology,Applied Psychology,Journal of Vocational Behavior,0001-8791,00018791,12086,Active,
11341,Social Sciences and Humanities,Psychology,Applied Psychology,The Leadership Quarterly,1048-9843,10489843,07433,Active,
11343,Social Sciences and Humanities,Psychology,Applied Psychology,Organizational Behavior and Human Decision Processes,0749-5978,07495978,12100,Active,Formerly known as Organizational Behavior and Human Performance
11344,Social Sciences and Humanities,Psychology,Applied Psychology,Organizational Behavior and Human Performance,0030-5073,00305073,12100,Changed Name,Continued as Organizational Behavior and Human Decision Processes
11345,Social Sciences and Humanities,Psychology,Applied Psychology,Organizational Dynamics,0090-2616,00902616,07753,Active,
11352,Social Sciences and Humanities,Psychology,Applied Psychology,Research in Organizational Behavior,0191-3085,01913085,12702,Active,
11359,Social Sciences and Humanities,Psychology,Applied Psychology,Scandinavian Journal of Management,0956-5221,09565221,00872,Active,Formerly known as Scandinavian Journal of Management Studies
11361,Social Sciences and Humanities,Psychology,Applied Psychology,Technological Forecasting and Social Change,0040-1625,00401625,07771,Active,Formerly known as Technological Forecasting
11468,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Advances in Behaviour Research and Therapy,0146-6402,01466402,00458,Discontinued,Title discontinued as of 1995
11480,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Cognitive Systems Research,1389-0417,13890417,09913,Active,Incorporating Biologically Inspired Cognitive Architectures
11482,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Computers in Human Behavior,0747-5632,07475632,00759,Active,
11488,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,International Journal of Human-Computer Studies,1071-5819,10715819,12608,Active,Formerly known as International Journal of Man-Machine Studies; Incorporating Knowledge Acquisition
11489,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,International Journal of Man-Machine Studies,0020-7373,00207373,12608,Changed Name,Continued as International Journal of Human-Computer Studies
11492,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Journal of Applied Research in Memory and Cognition,2211-3681,22113681,14077,Transferred,Transferred to American Psychological Association as of 2022
11493,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Journal of Behavioral and Cognitive Therapy,2589-9791,25899791,15573,Active,Formerly known as Journal de Thérapie Comportementale et Cognitive
11505,Social Sciences and Humanities,Psychology,Experimental and Cognitive Psychology,Journal de Thérapie Comportementale et Cognitive,1155-1704,11551704,15573,Changed Name,Continued as Journal of Behavioral and Cognitive Therapy
11554,Social Sciences and Humanities,Psychology,Psychology (General),Computers in Human Behavior: Artificial Humans,2949-8821,29498821,31576,Active,
11555,Social Sciences and Humanities,Psychology,Psychology (General),Computers in Human Behavior Reports,2451-9588,24519588,30292,Active,
11576,Social Sciences and Humanities,Psychology,Psychology (General),New Ideas in Psychology,0732-118X,0732118X,00678,Active,
11591,Social Sciences and Humanities,Psychology,Psychology (General),Social Sciences & Humanities Open,2590-2911,25902911,30119,Active,
11606,Social Sciences and Humanities,Psychology,Social Psychology,Current Research in Ecological and Social Psychology,2666-6227,26666227,30393,Active,
11607,Social Sciences and Humanities,Psychology,Social Psychology,"Emotion, Space and Society",1755-4586,17554586,04294,Active,
11617,Social Sciences and Humanities,Psychology,Social Psychology,Journal of Contextual Behavioral Science,2212-1447,22121447,14113,Active,
11620,Social Sciences and Humanities,Psychology,Social Psychology,Journal of Experimental Social Psychology,0022-1031,00221031,12065,Active,
11623,Social Sciences and Humanities,Psychology,Social Psychology,Journal of Research in Personality,0092-6566,00926566,12081,Active,
11625,Social Sciences and Humanities,Psychology,Social Psychology,"Learning, Culture and Social Interaction",2210-6561,22106561,12938,Active,
11626,Social Sciences and Humanities,Psychology,Social Psychology,Learning and Instruction,0959-4752,09594752,00956,Active,
11627,Social Sciences and Humanities,Psychology,Social Psychology,Organizational Behavior and Human Decision Processes,0749-5978,07495978,12100,Active,Formerly known as Organizational Behavior and Human Performance
11630,Social Sciences and Humanities,Psychology,Social Psychology,The Social Science Journal,0362-3319,03623319,07443,Transferred,Transferred to Taylor & Francis as of 2020
11631,Social Sciences and Humanities,Psychology,Social Psychology,Social Science & Medicine,0277-9536,02779536,00315,Active,"Incorporating Social Science & Medicine. Part A: Medical Psychology & Medical Sociology, Social Science & Medicine. Part B: Medical Anthropology, Social Science & Medicine. Part C: Medical Economics, Social Science & Medicine. Part D: Medical Geography, S"
11632,Social Sciences and Humanities,Psychology,Social Psychology,Social Science & Medicine. Part E: Medical Psychology,0271-5384,02715384,00315,Incorporated,Incorporated into Social Science & Medicine
11633,Social Sciences and Humanities,Psychology,Social Psychology,Social Science Research,0049-089X,0049089X,12113,Active,
11634,Social Sciences and Humanities,Psychology,Social Psychology,SSM - Mental Health,2666-5603,26665603,30380,Active,
